CHARACTER Devil
HEIGHT 33
WIDTH 22
HEALTH 3
IDLE assets/images/characters/devil/idle/01.png
RUNNING assets/images/characters/skeleton/running/1.gif
RUNNING assets/images/characters/skeleton/running/2.gif
RUNNING assets/images/characters/skeleton/running/3.gif
RUNNING assets/images/characters/skeleton/running/4.gif
RUNNING assets/images/characters/skeleton/running/5.gif
RUNNING assets/images/characters/skeleton/running/6.gif
RUNNING assets/images/characters/skeleton/running/7.gif
RUNNING assets/images/characters/skeleton/running/8.gif
DYING assets/images/characters/skeleton/dying/1.gif
DYING assets/images/characters/skeleton/dying/2.gif
DYING assets/images/characters/skeleton/dying/3.gif
DYING assets/images/characters/skeleton/dying/4.gif
DYING assets/images/characters/skeleton/dying/5.gif
DYING assets/images/characters/skeleton/dying/6.gif
DYING assets/images/characters/skeleton/dying/7.gif
DYING assets/images/characters/skeleton/dying/8.gif
DYING assets/images/characters/skeleton/dying/9.gif
DYING assets/images/characters/skeleton/dying/10.gif
DYING assets/images/characters/skeleton/dying/11.gif
DYING assets/images/characters/skeleton/dying/12.gif
DYING assets/images/characters/skeleton/dying/13.gif
DYING assets/images/characters/skeleton/dying/14.gif
DYING assets/images/characters/skeleton/dying/15.gif


